ref	nazva	rik	arkhiv	fond	opys	sprava	url
makhnovets-1989	Літопис руський / Пер. з давньорус. Л. Є. Махновця. Київ: Дніпро, 1989	1989					http://litopys.org.ua/litop/lit.htm
mkv-2024	ІА «MKV», матеріал про Василя Шмагуна зі слів матері Ніни Михайловської	2024					https://makariv.media/2024/07/11/vtracheni-zahysnyky-vasyl-shmagun-zahyshhav-lypivku/
molodniak-1929	«Молодняк», журнал, № 6 від 01.06.1929, с. 38-39, Ф. Голуб «ЛКСМУ в культурно-національному будівництві»	1929					https://libraria.ua/
molodyi-bilshovyk-1924	«Молодий більшовик», комсомольська газета Київської округи	1924					https://libraria.ua/
molodyi-proletarii	«Молодой пролетарий», щоденна газета, Харків	1924-1925					https://libraria.ua/
mostysche-rada-arhiv	Сайт колишньої Мостищанської сільської ради, mostysche.rada.arhiv.org.ua						http://mostysche.rada.arhiv.org.ua/
mv-01-2017	Макарівські вісті, 2017, № 1 (13 січня)	2017					https://commons.wikimedia.org/wiki/File:Mv-01-2017.pdf
mv-02-2017	Макарівські вісті, 2017, № 2 (20 січня)	2017					https://commons.wikimedia.org/wiki/File:Mv-02-2017.pdf
mv-03-2017	Макарівські вісті, 2017, № 3 (27 січня)	2017					https://commons.wikimedia.org/wiki/File:Mv-03-2017.pdf
mv-04-2017	Макарівські вісті, 2017, № 4 (3 лютого)	2017					https://commons.wikimedia.org/wiki/File:Mv-04-2017.pdf
mv-05-2012	Букет Є. Історія кожного поселення - сягає корінням у глиб століть // Макарівські вісті, 2012, № 5 (3 лютого)	2012					https://commons.wikimedia.org/wiki/File:Mv-05-2012.pdf
mv-05-2017	Макарівські вісті, 2017, № 5 (10 лютого)	2017					https://commons.wikimedia.org/wiki/File:Mv-05-2017.pdf
mv-06-2017	Макарівські вісті, 2017, № 6 (17 лютого)	2017					https://commons.wikimedia.org/wiki/File:Mv-06-2017.pdf
mv-07-2017	Макарівські вісті, 2017, № 7 (17 лютого)	2017					https://commons.wikimedia.org/wiki/File:Mv-07-2017.pdf
mv-08-2012	Букет Є. Історія кожного поселення сягає коренями у глиб століть // Макарівські вісті, 24 лютого 2012, № 8 (10708)	2012					https://commons.wikimedia.org/wiki/File:Mv-08-2012.pdf
mv-08-2017	Макарівські вісті, 2017, № 8 (3 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-08-2017.pdf
mv-09-2017	Макарівські вісті, 2017, № 9 (10 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-09-2017.pdf
mv-10-2017	Макарівські вісті, 2017, № 10 (17 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-10-2017.pdf
mv-11-2017	Макарівські вісті, 2017, № 11 (24 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-11-2017.pdf
mv-12-2017	Макарівські вісті, 2017, № 12 (24 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-12-2017.pdf
mv-13-2017	Макарівські вісті, 2017, № 13 (31 березня)	2017					https://commons.wikimedia.org/wiki/File:Mv-13-2017.pdf
mv-14-2017	Макарівські вісті, 2017, № 14 (14 квітня)	2017					https://commons.wikimedia.org/wiki/File:Mv-14-2017.pdf
mv-15-2017	Макарівські вісті, 2017, № 15 (21 квітня)	2017					https://commons.wikimedia.org/wiki/File:Mv-15-2017.pdf
mv-16-2017	Макарівські вісті, 2017, № 16 (28 квітня)	2017					https://commons.wikimedia.org/wiki/File:Mv-16-2017.pdf
mv-17-2017	Макарівські вісті, 2017, № 17 (28 квітня)	2017					https://commons.wikimedia.org/wiki/File:Mv-17-2017.pdf
mv-18-2017	Макарівські вісті, 2017, № 18 (12 травня)	2017					https://commons.wikimedia.org/wiki/File:Mv-18-2017.pdf
mv-19-2017	Макарівські вісті, 2017, № 19 (19 травня)	2017					https://commons.wikimedia.org/wiki/File:Mv-19-2017.pdf
mv-20-2017	Макарівські вісті, 2017, № 20 (26 травня)	2017					https://commons.wikimedia.org/wiki/File:Mv-20-2017.pdf
mv-21-2017	Макарівські вісті, 2017, № 21 (2 червня)	2017					https://commons.wikimedia.org/wiki/File:Mv-21-2017.pdf
mv-22-2017	Макарівські вісті, 2017, № 22 (9 червня)	2017					https://commons.wikimedia.org/wiki/File:Mv-22-2017.pdf
mv-23-2017	Макарівські вісті, 2017, № 23 (16 червня)	2017					https://commons.wikimedia.org/wiki/File:Mv-23-2017.pdf
mv-24-2017	Макарівські вісті, 2017, № 24 (23 червня)	2017					https://commons.wikimedia.org/wiki/File:Mv-24-2017.pdf
mv-25-2017	Макарівські вісті, 2017, № 25 (30 червня)	2017					https://commons.wikimedia.org/wiki/File:Mv-25-2017.pdf
mv-26-2017	Макарівські вісті, 2017, № 26 (7 липня)	2017					https://commons.wikimedia.org/wiki/File:Mv-26-2017.pdf
mv-27-2017	Макарівські вісті, 2017, № 27 (14 липня)	2017					https://commons.wikimedia.org/wiki/File:Mv-27-2017.pdf
mv-28-2017	Макарівські вісті, 2017, № 28 (21 липня)	2017					https://commons.wikimedia.org/wiki/File:Mv-28-2017.pdf
mv-29-2017	Макарівські вісті, 2017, № 29 (28 липня)	2017					https://commons.wikimedia.org/wiki/File:Mv-29-2017.pdf
mv-30-2017	Макарівські вісті, 2017, № 30 (4 серпня)	2017					https://commons.wikimedia.org/wiki/File:Mv-30-2017.pdf
mv-32-2017	Макарівські вісті, 2017, № 32 (18 серпня)	2017					https://commons.wikimedia.org/wiki/File:Mv-32-2017.pdf
mv-33-2017	Макарівські вісті, 2017, № 33 (23 серпня)	2017					https://commons.wikimedia.org/wiki/File:Mv-33-2017.pdf
mv-34-2017	Макарівські вісті, 2017, № 34 (1 вересня)	2017					https://commons.wikimedia.org/wiki/File:Mv-34-2017.pdf
mv-35-2017	Макарівські вісті, 2017, № 35 (8 вересня)	2017					https://commons.wikimedia.org/wiki/File:Mv-35-2017.pdf
mv-36-2017	Макарівські вісті, 2017, № 36 (15 вересня)	2017					https://commons.wikimedia.org/wiki/File:Mv-36-2017.pdf
mv-37-2017	Макарівські вісті, 2017, № 37 (22 вересня)	2017					https://commons.wikimedia.org/wiki/File:Mv-37-2017.pdf
mv-38-2017	Макарівські вісті, 2017, № 38 (29 вересня)	2017					https://commons.wikimedia.org/wiki/File:Mv-38-2017.pdf
mv-39-2017	Макарівські вісті, 2017, № 39 (6 жовтня)	2017					https://commons.wikimedia.org/wiki/File:Mv-39-2017.pdf
mv-40-2017	Макарівські вісті, 2017, № 40 (13 жовтня)	2017					https://commons.wikimedia.org/wiki/File:Mv-40-2017.pdf
mv-41-2017	Макарівські вісті, 2017, № 41 (20 жовтня)	2017					https://commons.wikimedia.org/wiki/File:Mv-41-2017.pdf
mv-42-2017	Макарівські вісті, 2017, № 42 (27 жовтня)	2017					https://commons.wikimedia.org/wiki/File:Mv-42-2017.pdf
mv-43-2017	Букет Є. Бандуристи Шевченки з Пашківки // Макарівські вісті, 2017, № 43 (3 листопада)	2017					https://commons.wikimedia.org/wiki/File:Mv-43-2017.pdf
mv-44-2017	Макарівські вісті, 2017, № 44 (10 листопада)	2017					https://commons.wikimedia.org/wiki/File:Mv-44-2017.pdf
mv-45-2017	Макарівські вісті, 2017, № 45 (17 листопада)	2017					https://commons.wikimedia.org/wiki/File:Mv-45-2017.pdf
mv-46-2017	Макарівські вісті, 2017, № 46 (24 листопада)	2017					https://commons.wikimedia.org/wiki/File:Mv-46-2017.pdf
mv-47-2017	Макарівські вісті, 2017, № 47 (1 грудня)	2017					https://commons.wikimedia.org/wiki/File:Mv-47-2017.pdf
mv-48-2017	Макарівські вісті, 2017, № 48 (8 грудня)	2017					https://commons.wikimedia.org/wiki/File:Mv-48-2017.pdf
mv-49-2010	Захарченко І. Спогади із криниці забуття // Макарівські вісті, № 49 від 3 грудня 2010, с. 6	2010					http://buket.ucoz.com/MV_PDF/2010/49-10.pdf
mv-49-2017	Макарівські вісті, 2017, № 49 (15 грудня)	2017					https://commons.wikimedia.org/wiki/File:Mv-49-2017.pdf
mv-50-2017	Макарівські вісті, 2017, № 50 (22 грудня)	2017					https://commons.wikimedia.org/wiki/File:Mv-50-2017.pdf
mv-51-2017	Макарівські вісті, 2017, № 51 (29 грудня)	2017					https://commons.wikimedia.org/wiki/File:Mv-51-2017.pdf
narodnii-uchytel	«Народній учитель», газета працівників освіти УСРР	1925-1930					https://libraria.ua/
nashe-zhyttia	«Наше життя», журнал Союзу українок Америки, Нью-Йорк	1944-					https://libraria.ua/
nauk-inf-biuleten-1958	«Науково-інформаційний бюлетень», 1 березня 1958, № 3	1958					https://libraria.ua/issues/1292/103484/?PageNumber=55&ArticleId=3462993
nbuv-hazety-1930-1934	Газети України 1930-1934 рр. у фондах Національної бібліотеки України імені В. І. Вернадського: науковий каталог. Київ, 2004, у 2 частинах, 9177 назв	2004					https://irbis-nbuv.gov.ua/everlib/item/er-0001852
nkp-holodomor-kyivska	Національна книга памʼяті жертв Голодомору 1932-1933 років в Україні. Київська область	2008					https://web.archive.org/web/20260626170027/https://holodomormuseum.org.ua/wp-content/uploads/2019/10/kiivska_obl.pdf
nova-hromada	«Нова громада», журнал кооперації	1926					https://libraria.ua/
nova-rada-1917	«Нова Рада», № 112 від 12.08.1917, с. 3, рубрика «Вісти з краю»	1917					https://libraria.ua/issues/921/44657/?PageNumber=3&ArticleId=1683652
nove-ukrainske-slovo	«Нове українське слово», щоденна газета, Київ	1941-1943					https://libraria.ua/
opanasenko-2009	Опанасенко О. М. Розвиток селекції картоплі в Україні: історико-біографічний аспект // Історія науки і біографістика. 2009. № 1	2009					https://inb.dnsgb.com.ua/2009-1/09_opanasenko.pdf
opisi-dako-zags	Бази актів цивільного стану Державного архіву Київської області	2026	ДАКО				https://opisi.dako.gov.ua/zags/deaths
osm-andriivka	OpenStreetMap, обʼєкти в межах села Андріївка						https://www.openstreetmap.org/relation/4668434
osm-chornohorodka	OpenStreetMap / Nominatim, обʼєкт села Чорногородка	2026					https://www.openstreetmap.org/node/337526512
osm-havronshchyna	OpenStreetMap, вузол села Гавронщина						https://www.openstreetmap.org/node/337521069
osm-komarivka	OpenStreetMap, обʼєкти в межах села Комарівка						https://www.openstreetmap.org/node/337520601
osm-kopyliv	Копилів у OpenStreetMap, relation/4797086						https://www.openstreetmap.org/relation/4797086
osm-korolivka	OpenStreetMap, обʼєкти в межах села Королівка	2026					https://www.openstreetmap.org/node/337519935
osm-lypivka	OpenStreetMap, обʼєкти в межах села Липівка						https://www.openstreetmap.org/node/337520591
osm-malyi-karashyn	OpenStreetMap, село Малий Карашин						https://www.openstreetmap.org/node/337524128
osm-marianivka	Марʼянівка в OpenStreetMap						https://www.openstreetmap.org/way/178228207
osm-mostyshche	OpenStreetMap, межа села Мостище (Фастівський район)	2026					https://www.openstreetmap.org/relation/12535871
osm-plakhtianka	Плахтянка в OpenStreetMap						https://www.openstreetmap.org/way/332470906
osm-sosnivka	OpenStreetMap, вузол села Соснівка						https://www.openstreetmap.org/node/337526574
osm-velykyi-karashyn	OpenStreetMap, села Великий і Малий Карашин						https://www.openstreetmap.org/
osm-vesela-sloboda	OpenStreetMap, село Весела Слобідка						https://www.openstreetmap.org/node/337525565
osm-zabuiannia	Забуяння в OpenStreetMap, relation 4668438						https://www.openstreetmap.org/relation/4668438
osm-zavalivka	OpenStreetMap, вузол памʼятника в Завалівці						https://www.openstreetmap.org/node/7934417670
osnova-1862	Ф. Рильський. «Зъ Маковищъ (Київського повіту)» // «Основа», Санкт-Петербург, 1862, книжка 2 (лютий), розділ «Вісти», с. 84-91	1862					https://archive.org/details/osnova_1862_2
pamiatnyk-byshiv-odnoseltsi	Памʼятник воїнам-односельцям у Бишеві, іменні панелі. Памʼятка місцевого значення 32-227-0214	1941-1945					https://commons.wikimedia.org/wiki/File:32-227-0214_Byshiv_5.jpg
pamiatnyk-byshiv-pidpilnyky	Табличка на братській могилі підпільників у Бишеві, вул. Мічуріна	1943					https://commons.wikimedia.org/wiki/Category:Byshiv,_Fastiv_Raion
pamiatnyk-byshiv-voiny	Табличка на групі братських могил воїнів у Бишеві. Памʼятка місцевого значення 32-227-0213	1943-1944					https://commons.wikimedia.org/wiki/Category:Byshiv,_Fastiv_Raion
pamiatnyk-nebelytsia-bratska-mohyla	Братська могила радянських воїнів у Небелиці: скульптура зі склоцементу й похила гранітна плита з іменами. Позиція 579 рішення № 806 (1970), обʼєкт 662 переліку 2003 року, охоронний № 1656	1943					https://commons.wikimedia.org/wiki/Category:Mass_grave_of_Soviet_soldiers_in_Nebelytsia
pamiatnyk-nebelytsia-odnoseltsi	Памʼятник воїнам-односельцям у Небелиці, іменні панелі. Позиція 663 переліку 2003 року, охоронний № 531	1941-1945					https://commons.wikimedia.org/wiki/Category:Monument_to_Soviet_soldiers-countrymen_in_Nebelytsia
pamiatnyk-plakhtianka-odnoseltsi	Памʼятник воїнам-односельцям у с. Плахтянка, іменні плити						https://commons.wikimedia.org/wiki/Category:World_War_II_memorial_in_Plakhtianka
pamyat-naroda-kartseva	Картка Любові Йосипівни Карцевої в базі «Памʼять народу»		ЦАМО	33	686044	363	https://pamyat-naroda.ru/heroes/podvig-chelovek_nagrazhdenie17783326/
pamyat-naroda-ozirshchyna	«Памʼять народу»: облікові документи ЦАМО на уродженців і жителів с. Озірщина	2026					https://pamyat-naroda.ru/
pamyat-naroda-popovych	Облікові документи ЦАМО на В. Т. Поповича, зокрема подання на звання Героя Радянського Союзу	1942-1946	ЦАМО	33	793756	38	https://pamyat-naroda.ru/heroes/podvig-chelovek_nagrazhdenie150026791/
pamyat-naroda-shepelenko	«Памʼять народу» / ОБД «Меморіал»: облікові документи ЦАМО на мол. лейтенанта Д. І. Шепеленка, 144-й гсп 28-ї гсд	1941-1967					https://pamyat-naroda.ru/heroes/person-hero80716795/
pamyat-naroda-yablunivka	ОБД «Меморіал»: облікові документи ЦАМО на уродженців с. Яблунівка						https://obd-memorial.ru/
pamyatna-knyzhka-kyivska-1914	Памятная книжка Киевской губернии на 1914 годъ	1914					https://archive.org/details/PKKievGub1914
pashkivka-pamiatnyk	Могили 2 рад. воїнів, які загинули в листопаді 1943 р., та памʼятник на честь 214 воїнів-односельців, що не повернулися з фронтів війни - знімок на Вікісховищі						https://commons.wikimedia.org/wiki/File:%D0%9C%D0%BE%D0%B3%D0%B8%D0%BB%D0%B8_2_%D1%80%D0%B0%D0%B4._%D0%B2%D0%BE%D1%97%D0%BD%D1%96%D0%B2%2C_%D1%8F%D0%BA%D1%96_%D0%B7%D0%B0%D0%B3%D0%B8%D0%BD%D1%83%D0%BB%D0%B8_%D0%B2_%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%B0%D0%B4%D1%96_1943_%D1%80.%2C_%D1%82%D0%B0_%D0%BF%D0%B0%D0%BC%E2%80%99%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0_%D1%87%D0%B5%D1%81%D1%82%D1%8C_214_%D0%B2%D0%BE%D1%97%D0%BD%D1%96%D0%B2-%D0%BE%D0%B4%D0%BD%D0%BE%D1%81%D0%B5%D0%BB%D1%8C%D1%86%D1%96%D0%B2%2C_%D1%89%D0%BE_%D0%BD%D0%B5_%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D0%BD%D1%83%D0%BB%D0%B8%D1%81%D1%8F_%D0%B7_%D1%84%D1%80%D0%BE%D0%BD%D1%82%D1%96%D0%B2_%D0%B2%D1%96%D0%B9%D0%BD%D0%B8.jpg
perelik-pamiatok-makariv	Перелік памʼяток Макарівського району (компіляція реєстру, Wiki Loves Monuments / Вікіпедія)						https://uk.wikipedia.org/wiki/Пам'ятки_Макарівського_району
perepys-1989	Всесоюзний перепис населення 1989 року	1989					https://web.archive.org/web/20170203013314/http://demoscope.ru/weekly/ssp/sng89_reg2.php
pererva-2008	Перерва В. С. Історія шкільництва в містах і селах Київщини ХІХ - початку ХХ ст. Біла Церква: Олександр Пшонківський, 2008, 671 с.	2008					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%92%D0%A148643%24%3C.%3E%29
pokhylevych-1864	Похилевич Л. Сказания о населенных местностях Киевской губернии	1864					https://commons.wikimedia.org/wiki/File:%D0%A1%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BE%D0%BA%D1%80%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%8F%D1%85_%D0%9A%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B9_%D0%B3%D1%83%D0%B1%D0%B5%D1%80%D0%BD%D0%B8%D0%B8._%D0%9F%D0%BE%D1%85%D0%B8%D0%BB%D0%B5%D0%B2%D0%B8%D1%87_%D0%9B._(1864).pdf
pokhylevych-1887	Похилевич Л. Уѣзды Кіевскій и Радомысльскій. Київ, 1887	1887					https://archive.org/details/uezdykievskijiradomyslskij23
pop-stat-mashke	Bespyatov T. Cities & towns of Ukraine: population by census and estimate, pop-stat.mashke.org						http://pop-stat.mashke.org/ukraine-cities.htm
prodovolstvennaia-hazeta-1923	«Продовольственная газета», орган Народного комісаріату продовольства УСРР, Харків						https://libraria.ua/
proletarii-kharkiv	«Пролетарий», щоденна газета, Харків						https://libraria.ua/
proletarska-pravda	«Пролетарська правда», щоденна газета, Київ	1924-1941					https://libraria.ua/
psrl-2-ipat	Полное собрание русских летописей. Т. 2: Ипатьевская летопись. СПб., 1908	1908					http://litopys.org.ua/ipatlet/ipat22.htm
rada-1906-1914	«Рада», щоденна українська газета, Київ	1906-1914					https://libraria.ua/
radianske-selo	«Радянське село», газета для села, Київ	1924-1930					https://libraria.ua/
radianskyi-sport	«Радянський спорт», Київ	1934-1991					https://libraria.ua/
reabit-kyivska-2	Реабілітовані історією. Київська область						https://www.reabit.org.ua/files/store/Kuivsk.kn.2.pdf.pdf
reabit-kyivska-3	Реабілітовані історією. Київська область						https://www.reabit.org.ua/files/store/Kuivsk.kn.3.s.1-797.pdf
reabit-kyivska-3-mart	Реабілітовані історією. Київська область, книга 3, розділ IV «Біографічні довідки про громадян, що зазнали політичних репресій», с. 798-984						https://www.reabit.org.ua/files/store/Kuivsk.kn.3.s.798-984.pdf
reabit-nbr	Національний банк репресованих						https://www.reabit.org.ua/nbr/
reabit-zhytomyrska-1	Реабілітовані історією. Житомирська область, книга 1						https://www.reabit.org.ua/files/store/Zhitom.1.pdf
reabit-zhytomyrska-2	Реабілітовані історією. Житомирська область, книга 2						https://www.reabit.org.ua/files/store/Zhitom.2.pdf
reabit-zhytomyrska-3	Реабілітовані історією. Житомирська область, книга 3						https://www.reabit.org.ua/files/store/Zhitom.3.pdf
reabit-zhytomyrska-4	Реабілітовані історією. Житомирська область, книга 4						https://www.reabit.org.ua/files/store/Zhitom.4.pdf
reabit-zhytomyrska-5	Реабілітовані історією. Житомирська область, книга 5						https://www.reabit.org.ua/files/store/Zhitom.5.pdf
reabit-zhytomyrska-6	Реабілітовані історією. Житомирська область, книга 6						https://www.reabit.org.ua/files/store/Zhitom.6.pdf
reabit-zhytomyrska-7-1	Реабілітовані історією. Житомирська область, книга 7, частина 1						https://www.reabit.org.ua/files/store/Zhitom.7_1.pdf
reiestr-1649	Реєстр Війська Запорозького 1649 року. Київ: Наукова думка, 1995	1995					https://history.org.ua/LiberUA/5-12-002042-9/5-12-002042-9.pdf
rulikowski-1913	Rulikowski E. Opis powiatu kijowskiego / wyd. M. Dubiecki. Kijów; Warszawa: Księgarnia Leona Idzikowskiego, 1913	1913					https://sbc.org.pl/Content/18090/PDF/18090.pdf
ruwiki-karpovych	ru.wikipedia, стаття «Карпович, Иван Власович»						https://ru.wikipedia.org/wiki/Карпович,_Иван_Власович
ruwiki-marchuk	ru.wikipedia, стаття «Марчук, Иван Иванович»						https://ru.wikipedia.org/wiki/Марчук,_Иван_Иванович
ruwiki-posly-hvineia	ru.wikipedia, стаття «Список послов СССР и России в Гвинее»						https://ru.wikipedia.org/wiki/Список_послов_СССР_и_России_в_Гвинее
ruwiki-posly-liberiia	ru.wikipedia, стаття «Список послов СССР и России в Либерии»						https://ru.wikipedia.org/wiki/Список_послов_СССР_и_России_в_Либерии
shkola-marianivka	Історія Марʼянівської школи - сторінка на сайті закладу						http://maryanivske-nvo.webnode.com.ua/istoriya/
shulhyn-1898	Шульгин Я. Начерк Коліївщини. Львів, 1898	1898					https://uk.wikisource.org/wiki/Начерк_Коліївщини/I/Іван_Бондаренко
slovnyk-hidronimiv-1979	Словник гідронімів України. Київ, Наукова думка, 1979	1979					http://history.org.ua/LiberUA/SlGidrUkr_1979/SlGidrUkr_1979.pdf
slownik-geograficzny-1	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. I, гасло «Byszów, Byszew» (автор Edward Rulikowski). Варшава, 1880	1880					https://dir.icm.edu.pl/pages/1/0515.tif
slownik-geograficzny-11	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. XI, гасло «Stawiszcze»	1890					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_XI/
slownik-geograficzny-12	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. XII, гасло «Szybenne»	1892					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_XII/92
slownik-geograficzny-14	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. XIV, гасла «Zawałówka» та «Zmorowka al. Zmurówka»	1895					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_XIV/
slownik-geograficzny-15-1	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. XV ч. 1 (доповнення), гасло «Byszów». Варшава, 1900	1900					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_XV_cz.1/289
slownik-geograficzny-15-2	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. XV ч. 2 (доповнення). Варшава, 1902	1902					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_XV_cz.2
slownik-geograficzny-3	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. III, гасло «Jasnohorodka»	1882					https://dir.icm.edu.pl/pages/3/0491.tif
slownik-geograficzny-4	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. IV, гасло «Kopyłów»	1883					https://dir.icm.edu.pl/pages/4/0388.tif
slownik-geograficzny-5	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. V (гасла «Lipówka» та «Makarów», автор Edward Rulikowski)	1884					https://dir.icm.edu.pl/pages/5/0291.tif
slownik-geograficzny-6	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. VI	1885					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_VI/
slownik-geograficzny-7	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. VII, гасло «Niżyłowicze»	1886					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_VII/170
slownik-geograficzny-8	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. VIII	1887					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_VIII/
slownik-geograficzny-9	Słownik geograficzny Królestwa Polskiego i innych krajów słowiańskich, t. IX, гасло «Różów, Rożew» (автор Edward Rulikowski)	1888					https://dir.icm.edu.pl/Slownik_geograficzny/Tom_IX/
sosnivska-rada-site	Соснівська сільська рада, історична довідка (архівна копія офіційного сайту)						https://sosnivka.rada.arhiv.org.ua/sosnivka-10-59-58-15-12-2017/
sovetskaia-ukraina	«Советская Украина», республіканська газета						https://libraria.ua/
spilka-1924	«Спілка», профспілкова газета	1924					https://libraria.ua/all-titles/
sportyvna-hazeta	«Спортивна газета», Київ	1934-1998					https://libraria.ua/
spysok-dvorian-1906	Список дворян Киевской губернии. Київ, 1906	1906					https://archive.org/details/spisok-dvoryan-kiyevskoy-gubernii-1906-g.
spysok-kyivska-1900	Список населенных мест Киевской губернии	1900					https://commons.wikimedia.org/wiki/File:%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BC%D0%B5%D1%81%D1%82_%D0%9A%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B9_%D0%B3%D1%83%D0%B1%D0%B5%D1%80%D0%BD%D0%B8%D0%B8._%D0%A7%D0%B0%D1%81%D1%82%D1%8C_1_(%D0%9A%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D1%83%D0%B1%D0%B5%D1%80%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%BE%D0%BC%D0%B8%D1%82%D0%B5%D1%82,_1900).pdf
spysok-kyivska-1900-ch2	Список населенных мест Киевской губернии. Часть 2	1900					https://commons.wikimedia.org/wiki/File:Список_населенных_мест_Киевской_губернии_Часть_2_(Киевский_губернский_статистический_комитет,_1900).pdf
spysok-poselen-1924	Список поселень Київщини. Видання газети «Вісник Київського губвиконкому». Київ, 1924	1924					https://archive.org/details/spysok_poselen_kyivschyny_1924
spysok-poselen-kyivska-okruha-1926	Список поселень Київської округи. Київський окружний виконавчий комітет, 1926	1926					https://history.org.ua/LiberUA/SpPosKO_1926/SpPosKO_1926.pdf
stalinska-premiia-reiestr	Лауреати Сталінської премії в галузі науки (1946-1952)						https://ru.wikipedia.org/wiki/Лауреаты_Сталинской_премии_в_области_науки_(1946-1952)
starozytna-polska-2-1885	Baliński M., Lipiński T. Starożytna Polska pod względem historycznym, jeograficznym i statystycznym. Wydanie drugie, poprawione i uzupełnione przez F. K. Martynowskiego. T. II. Warszawa: S. Orgelbranda Synowie, 1885	1885					https://www.wbc.poznan.pl/dlibra/publication/11126/edition/18060
summaryusz-1770	Summarjusz królewszczyzn w całej Koronie Polskiej z wyrażeniem possesorów i siła która płaci rocznej kwarty, spisany roku 1770. Wydanie Eligiego Piotrowskiego. Żytomierz: Zakład Litograficzno-Drukarski J. Chrząszcza i Komp., 1861	1861					https://bc.wbp.lublin.pl/dlibra/publication/4587
tchaikovsky-research-3947	Лист П. І. Чайковського до Н. Ф. фон Мекк від 2/14 жовтня 1889 року (Tchaikovsky Research, № 3947)	1889					https://en.tchaikovsky-research.net/pages/Letter_3947
tuptalo-diariush-zhylenko	Туптало Д. Діаруш (автобіографія). Критичне видання, упорядкування, переклад і коментарі Ірини Жиленко						http://litopys.org.ua/synopsis/avtob.htm
uain-buket-shevchenky	Букет Є. Бандуристи Шевченки з Пашківки // Український інтерес						https://uain.press/blogs/554714-554714
